CALENDAR YEAR,MONTH,VENDOR NAME,CATEGORY,ITEM ,ITEM DESCRIPTION,QUANTITY,TRANSACTION SOURCE TYPE
2018,January,REPUBLIC NATIONAL DISTRIBUTING CO,BEER,98213,SAPPORO DRAFT NR 12/CS - 20.3OZ,68,Purchase order
2018,January,SUTTER HOME WINERY INC,WINE,80578,SUTTER HOME WH/MER - 187ML,150,Purchase order
2018,January,COMETE WINES LLC,WINE,335180,CH ST VALERY ST EMILION - 750ML,2,Purchase order
2018,January,RVWC LLC,WINE,309212,GERBERAS GARNACHA - 750 ML,1,Purchase order
2018,January,ROYAL WINE CORP,WINE,345839,KOENIG P/GRIS - 750ML,1,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,167410,RIDGE CAL LYTTON SPRING ZIN - 750ML,3,Purchase order
2018,January,CELICAR LLC DBA TWIN VALLEY DISTILLERS,LIQUOR,235052,1812 MARYLAND BOURBON WHISKEY - 750ML,29,Purchase order
2018,January,BACCHUS IMPORTERS LTD,WINE,309854,POMA AUREA - 750ML,1,Purchase order
2018,January,ANHEUSER BUSCH INC,BEER,25625,LEFFE BRUNE 4/6NR - 11.2 OZ,216,Purchase order
2018,January,E & J GALLO WINERY,WINE,76287,BAREFOOT CEL MERLOT - 1.5L,54,Purchase order
2018,January,MHW LTD,BEER,12944,HABESHA BEER - 4/6 11.2Z,216,Purchase order
2018,January,GRAPES & BARLEY LLC,WINE,234016,VAN ARDI RED - 750ML,4,Purchase order
2018,January,ANHEUSER BUSCH INC,NON-ALCOHOL,94366,O'DOULS NA 4/6 LNNR - 12OZ,504,Purchase order
2018,January,AREL GROUP WINE & SPIRITS,WINE,307285,CARLETTO SUPER RICCO RED BLEND - 750ML,1,Purchase order
2018,January,JIM BEAM BRANDS CO,LIQUOR,70397,PINNACLE VODKA - PEACH 750ML,1,Purchase order
2018,January,BACCHUS IMPORTERS LTD,WINE,43679,CLINE VIOG - 750ML,14,Purchase order
2018,January,A VINTNERS SELECTIONS,WINE,309822,CANTINA NALLES P/GRIG - 750ML,3,Purchase order
2018,January,MONSIEUR TOUTON SELECTION,WINE,43488,ROCCA DOCG BAROLO - 750ML,2,Purchase order
2018,January,DOPS INC,WINE,141372,MONMOUSSEAU VOUV BDB - 750ML,1,Purchase order
2018,January,DIAGEO NORTH AMERICA INC,LIQUOR,71300,SMIRNOFF VODKA - PEACH - 750ML,3,Purchase order
2018,January,BRONCO WINE COMPANY,WINE,86339,STONE CELLARS CHARD - 1.5L,30,Purchase order
2018,January,ALLAGASH BREWING COMPANY,BEER,97039,ALLAGASH TRIPLE NR - 25.4OZ,9,Purchase order
